TIME,PID,COMM,ACTION,SYSCALL ID,PARM1
1660282625.025937, b'redis-server',718594,1,1,0
1660282625.025945, b'redis-server',718594,0,233,0
1660282625.025949, b'redis-server',718594,1,233,0
1660282625.025952, b'redis-server',718594,0,3,0
1660282625.025954, b'redis-server',718594,1,3,0
1660282625.026067, b'redis-server',718594,0,232,0
1660282625.029131, b'redis-server',718594,1,232,0
1660282625.029156, b'redis-server',718594,0,232,0
1660282625.129276, b'redis-server',718594,1,232,0
1660282625.129311, b'redis-server',718594,0,232,0
1660282625.229427, b'redis-server',718594,1,232,0
1660282625.229455, b'redis-server',718594,0,232,0
1660282625.329571, b'redis-server',718594,1,232,0
1660282625.329599, b'redis-server',718594,0,232,0
1660282625.429717, b'redis-server',718594,1,232,0
1660282625.429745, b'redis-server',718594,0,232,0
1660282625.529926, b'redis-server',718594,1,232,0
1660282625.529954, b'redis-server',718594,0,232,0
1660282625.630068, b'redis-server',718594,1,232,0
1660282625.630096, b'redis-server',718594,0,232,0
1660282625.730207, b'redis-server',718594,1,232,0
1660282625.730232, b'redis-server',718594,0,232,0
1660282625.825892, b'redis-server',718594,1,232,0
1660282625.825916, b'redis-server',718594,0,232,0
1660282625.926028, b'redis-server',718594,1,232,0
1660282625.926055, b'redis-server',718594,0,232,0
1660282626.026175, b'redis-server',718594,1,232,0
1660282626.026206, b'redis-server',718594,0,232,0
1660282626.126388, b'redis-server',718594,1,232,0
1660282626.126420, b'redis-server',718594,0,232,0
1660282626.226536, b'redis-server',718594,1,232,0
1660282626.226562, b'redis-server',718594,0,232,0
1660282626.326683, b'redis-server',718594,1,232,0
1660282626.326713, b'redis-server',718594,0,232,0
1660282626.426896, b'redis-server',718594,1,232,0
1660282626.426924, b'redis-server',718594,0,232,0
1660282626.527108, b'redis-server',718594,1,232,0
1660282626.527137, b'redis-server',718594,0,232,0
1660282626.627261, b'redis-server',718594,1,232,0
1660282626.627294, b'redis-server',718594,0,232,0
1660282626.727476, b'redis-server',718594,1,232,0
1660282626.727507, b'redis-server',718594,0,232,0
1660282626.827633, b'redis-server',718594,1,232,0
1660282626.827672, b'redis-server',718594,0,232,0
1660282626.927854, b'redis-server',718594,1,232,0
1660282626.927883, b'redis-server',718594,0,232,0
1660282627.033561, b'redis-server',718594,1,232,0
1660282627.033592, b'redis-server',718594,0,232,0
1660282627.133704, b'redis-server',718594,1,232,0
1660282627.133730, b'redis-server',718594,0,232,0
1660282627.233846, b'redis-server',718594,1,232,0
1660282627.233876, b'redis-server',718594,0,232,0
1660282627.333993, b'redis-server',718594,1,232,0
1660282627.334022, b'redis-server',718594,0,232,0
1660282627.434139, b'redis-server',718594,1,232,0
1660282627.434167, b'redis-server',718594,0,232,0
1660282627.534280, b'redis-server',718594,1,232,0
1660282627.534310, b'redis-server',718594,0,232,0
1660282627.634425, b'redis-server',718594,1,232,0
1660282627.634454, b'redis-server',718594,0,232,0
1660282627.734570, b'redis-server',718594,1,232,0
1660282627.734602, b'redis-server',718594,0,232,0
1660282627.834720, b'redis-server',718594,1,232,0
1660282627.834750, b'redis-server',718594,0,232,0
1660282627.934935, b'redis-server',718594,1,232,0
1660282627.934966, b'redis-server',718594,0,232,0
1660282628.035145, b'redis-server',718594,1,232,0
1660282628.035177, b'redis-server',718594,0,232,0
1660282628.135360, b'redis-server',718594,1,232,0
1660282628.135389, b'redis-server',718594,0,232,0
